NUTS Region;Acute myocardial infarction including subsequent myocardial infarction;All causes of death (A00-Y89) excluding S00-T98;Asthma and status asthmaticus;Cerebrovascular diseases;Chronic lower respiratory diseases;Diabetes mellitus;Malignant melanoma of skin;Malignant neoplasm of breast;Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal;Malignant neoplasm of trachea, bronchus and lung;Mental and behavioural disorders (F00-F99);Other ischaemic heart diseases;Other mental and behavioural disorders (remainder of F00-F99)
Algarve;93.341;1902.7796666666666;2.631333333333333;176.89466666666667;37.64666666666667;58.67966666666667;5.073666666666667;27.421;64.25066666666666;68.66466666666666;56.23466666666666;35.68866666666667;1.1916666666666667
Alsace;38.306333333333335;1617.3146666666667;2.033;98.96033333333334;35.44666666666667;37.604;4.3566666666666665;30.500999999999998;46.99333333333333;80.43566666666668;77.749;69.187;10.229333333333333
Arnsberg;91.696;2032.4323333333334;2.2786666666666666;119.684;83.845;40.440333333333335;5.779333333333333;38.169666666666664;57.06666666666667;104.199;104.83066666666667;136.50300000000001;2.5533333333333332
Attiki;107.26299999999999;1809.331;0.18733333333333332;193.17066666666668;42.794999999999995;23.932666666666666;3.64;34.584666666666664;44.36;107.30966666666667;17.35233333333333;105.84966666666666;1.3056666666666668
Berlin;112.71833333333332;1846.9693333333335;1.508;100.29933333333334;83.97633333333333;58.48733333333334;5.0023333333333335;35.778;47.267;101.383;75.95866666666666;130.07033333333334;3.258666666666667
Bratislavský kraj;92.05066666666667;2242.4793333333337;0.9266666666666666;167.631;27.215333333333334;28.100666666666665;9.637666666666666;45.10033333333333;84.08300000000001;82.11166666666666;25.29733333333333;599.052;0.6308333333333334
Braunschweig;103.03866666666666;1948.2673333333335;2.0966666666666667;123.96633333333334;77.76766666666667;51.68833333333334;5.221666666666667;34.414;51.495;88.66433333333333;106.44699999999999;208.879;4.3053333333333335
Bremen;106.14166666666667;1917.908;1.7446666666666666;111.43866666666666;76.15466666666666;31.81;8.798;38.952666666666666;45.999;107.32966666666667;87.84466666666667;116.09200000000001;7.0343333333333335
Bucuresti - Ilfov;265.31466666666665;2555.9656666666665;0.6266666666666667;502.90833333333336;29.738999999999997;10.756666666666666;2.51;42.17733333333333;71.72433333333333;105.872;0.596;284.4456666666667;0.20933333333333334
Budapest;112.69533333333334;2280.049666666667;0.9386666666666666;195.68166666666667;110.18866666666666;39.40833333333333;5.7459999999999996;43.854;86.55266666666667;137.02;63.36266666666666;507.21799999999996;1.968
Burgenland (AT);132.49666666666667;1913.4533333333334;1.5062499999999999;119.33733333333333;61.04366666666667;98.03333333333333;6.758666666666667;30.49233333333333;41.9;72.32366666666667;47.39933333333333;277.4893333333333;0.9322222222222223
Canarias;85.43900000000001;1621.0886666666668;3.7876666666666665;86.53866666666666;65.54333333333334;91.70533333333333;3.8433333333333333;25.064333333333334;53.336;78.40633333333334;74.11166666666666;74.096;1.7979999999999998
Cantabria;41.416333333333334;1545.0243333333333;2.945333333333333;109.249;50.834666666666664;19.065333333333335;3.3833333333333333;21.220333333333333;61.468333333333334;90.10466666666666;118.91033333333333;59.95466666666667;1.5423333333333333
Chemnitz;119.87533333333333;1967.4203333333332;1.9176666666666666;163.512;51.678666666666665;60.81166666666666;5.266333333333334;27.023666666666667;57.396;63.894666666666666;85.55300000000001;266.95300000000003;2.8713333333333333
Ciudad de Ceuta;77.09066666666668;1891.2803333333334;1.6780000000000002;126.67466666666665;57.32266666666667;81.19800000000001;4.978888888888889;28.290000000000003;41.89733333333333;84.53833333333334;64.18366666666667;100.91733333333333;4.714
